timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
648168814,0.028988183,1.4901161e-08,0.31599557,0.0,0.0,-0.5637209,0,0,0,0,2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
648371311,0.019385695,-7.4505806e-08,0.0927639,0.0,0.0,-0.5379622,0,0,0,0,2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
648567564,0.014900446,-3.4924597e-08,0.010536253,0.0,0.0,-0.49579716,0,0,0,0,2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
648768808,0.041365802,-7.450581e-09,0.082953975,0.0,0.0,-0.48678887,0,0,0,0,2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
648967559,0.046293378,-1.4901161e-08,0.18598077,0.0,0.0,-0.5,0,0,0,0,0,2,-2,2,2,2,2,2,2,2,2,2,2,2,2
649172564,0.059435308,-8.940697e-08,0.17278898,0.0,0.0,-0.50000006,0,0,0,0,0,2,-2,2,2,2,2,2,2,2,2,2,2,2,2
649371310,0.07841945,-1.4901161e-08,0.077546924,0.0,0.0,-0.49999997,0,0,0,0,0,2,-2,2,2,2,2,2,2,2,2,2,2,2,2
649570103,0.11113486,-4.4703484e-08,2.4447218e-09,0.0,0.0,-0.50164413,0,0,0,0,0,2,-2,2,2,2,2,2,2,2,2,2,2,2,2
649767895,0.12230632,-8.940697e-08,0.031360127,0.0,0.0,-0.26632923,0,0,0,0,0,2,-2,2,2,2,2,2,2,2,2,2,2,2,2
649966604,0.087816745,-1.4901161e-08,0.06343943,0.0,0.0,-0.25547734,0,0,0,0,0,2,-2,2,2,2,2,2,2,2,2,2,2,2,2
650166603,0.05629605,-7.4505806e-08,0.085083485,0.0,0.0,-0.24639428,0,0,0,0,0,2,-2,2,2,2,2,2,2,2,2,2,2,2,2
650369113,0.026418924,0.0,0.048490573,0.0,0.0,-0.23920089,0,0,0,0,0,2,-2,2,2,2,2,2,2,2,2,2,2,2,2
650566602,0.0,-7.4505806e-08,6.798655e-08,0.0,0.0,-0.35200608,0,1,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2
650769115,0.0,-1.4901161e-08,2.9802322e-08,0.0,0.0,-0.52987057,0,1,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2
650969104,0.00028777122,1.4901161e-08,7.450581e-09,0.0,0.0,-0.54761285,0,1,0,0,0,2,-2,2,2,2,2,2,2,2,2,2,2,2,2
651169108,0.01518631,5.5879354e-08,-0.0018323101,0.0,0.0,-0.5329784,0,0,0,-2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2
651366606,0.0012608767,-2.2817403e-08,-0.00089155696,0.0,0.0,-0.49565738,0,0,0,-2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2
651566602,0.026208997,0.0,-0.04707771,0.0,0.0,-0.5,0,0,0,-2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
651765351,0.07761729,0.0,-0.08549249,0.0,0.0,-0.48717523,0,0,0,-2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
651966609,0.12535167,-4.4703484e-08,-0.10669048,0.0,0.0,-0.44954282,0,0,0,-2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
652171601,0.18394235,-2.9802322e-08,-0.10626883,0.0,0.0,-0.39429802,0,0,0,-2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
652366603,0.2403582,-2.9802322e-08,-0.0840211,0.0,0.0,-0.33289787,0,0,0,-2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
652570351,0.30326742,0.0,-0.06920382,0.0,0.0,-0.26116303,0,0,0,-2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
652766604,0.35345668,-2.9802322e-08,-0.06828227,0.0,0.0,-0.17242172,0,0,0,-2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
652966605,0.37181494,-0.04273526,-0.023721198,0.0,0.0,-5.122274e-09,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
653169104,0.37137508,-0.03862295,-0.0353881,0.0,0.0,-5.5879354e-09,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
653366604,0.37177715,-0.03766083,-0.035372403,0.0,0.0,-6.519258e-09,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
653571602,0.37211537,-0.041289553,-0.026328223,0.0,0.0,-5.5879354e-09,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
653767852,0.3720405,-0.047335025,-0.015332188,0.0,0.0,-5.355105e-09,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
