timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
650505903,650479756,4395041,-0.20589036,0.043058977,-0.43673855,3
650555899,650554756,4395041,-0.2004953,0.044840842,-0.4327468,3
650655899,650629756,4395041,-0.20771296,0.044913262,-0.43244278,3
650705904,650704756,4395041,-0.20409392,0.04494227,-0.44089317,3
650805904,650779766,4395041,-0.20227781,0.04300441,-0.43471497,3
650855899,650854756,4395041,-0.2076736,0.041171398,-0.43237257,3
650955900,650929756,4395041,-0.20410085,0.044875987,-0.43254197,3
651005904,651004756,4395041,-0.2004495,0.041096926,-0.4325728,3
651105925,651079765,4395041,-0.20224068,0.039263226,-0.43468094,3
651155899,651154756,4395041,-0.20406371,0.04113483,-0.43250757,3
651255900,651229756,4395041,-0.20410353,0.044893984,-0.4346999,3
651305904,651304756,4395041,-0.20410964,0.044878818,-0.4326817,3
651405903,651379756,4395041,-0.20773032,0.046817735,-0.43667018,3
651455920,651454775,4395041,-0.20052464,0.048613705,-0.436887,3
651555899,651529756,4395041,-0.20586866,0.041153114,-0.43244007,3
651605903,651604756,4395041,-0.20775336,0.04868984,-0.43675786,3
651705904,651679756,4395041,-0.2058896,0.043024436,-0.43249133,3
651755899,651754756,4395041,-0.2005031,0.0448091,-0.42863992,3
651855899,651829765,4395041,-0.20590098,0.04304506,-0.4347911,3
651905903,651904756,4395041,-0.20410179,0.044910558,-0.43678802,3
652005903,651979756,4395041,-0.20408228,0.043005407,-0.4325248,3
652055899,652054756,4395041,-0.20774788,0.04865369,-0.43244135,3
652155919,652129765,4395041,-0.20590183,0.044910125,-0.43452707,3
652205903,652204756,4395041,-0.20045036,0.04113141,-0.43681818,3
652305904,652279756,4395041,-0.20587355,0.041171685,-0.43463323,3
652355900,652354757,4395041,-0.20771968,0.04491539,-0.43254668,3
652455900,652429756,4395041,-0.20406464,0.04116933,-0.43675363,3
652505925,652504775,4395041,-0.2041424,0.048618626,-0.43264621,3
652605904,652579756,4395041,-0.2076927,0.043059222,-0.43451247,3
652655899,652654756,4395041,-0.20414333,0.048653275,-0.4368929,3
652755900,652729756,4395041,-0.20591244,0.04489636,-0.43257925,3
652805903,652804756,4395041,-0.20413893,0.048651773,-0.4368224,3
652905908,652879765,4395041,-0.20592266,0.04678145,-0.4345792,3
652955901,652954757,4395041,-0.1969233,0.048580136,-0.43716294,3
653055901,653029757,4395041,-0.2022951,0.044908848,-0.43894362,3
653105906,653104757,4395041,-0.20410086,0.04487598,-0.43254197,3
653205929,653179767,4395041,-0.20594566,0.048653483,-0.4346668,3
653255901,653254757,4395041,-0.2077489,0.04868834,-0.43668738,3
653355901,653329757,4395041,-0.20409787,0.044926416,-0.4388409,3
653405907,653404757,4395041,-0.2005281,0.04858056,-0.43271142,3
653505909,653479757,4395041,-0.20590058,0.04494398,-0.43873787,3
653555923,653554777,4395041,-0.20406024,0.04116798,-0.43668315,3
653655905,653629757,4395041,-0.20586294,0.04118563,-0.43658048,3
653705905,653704757,4395041,-0.20409392,0.04494227,-0.44089317,3
653805907,653779757,4395041,-0.20412037,0.046781167,-0.43680522,3
653855905,653854757,4395041,-0.20409738,0.044909127,-0.43671757,3
