timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
652010324,0.3,-0.015678298,-0.008460722,0.0
652031576,0.3,-0.020259276,-0.008460722,0.0
652049077,0.3,-0.024082663,-0.008460722,0.0
652070327,0.3,-0.028748458,-0.008460722,0.0
652091576,0.3,-0.0334223,-0.008460722,0.0
652111576,0.3,-0.037807915,-0.008460722,0.0
652129084,0.3,-0.04163544,-0.008460722,0.0
652150326,0.3,-0.04629008,-0.008460722,0.0
652171577,0.3,-0.05097121,-0.008460722,0.0
652189079,0.3,-0.054877464,-0.008460722,0.0
652210326,0.3,-0.059709765,-0.008460722,0.0
652231576,0.3,-0.06465776,-0.008460722,0.0
652251576,0.3,-0.0694082,-0.008460722,0.0
652269076,0.3,-0.0736006,-0.008460722,0.0
652290324,0.3,-0.0786853,-0.008460722,0.0
652311576,0.3,-0.08373847,-0.008460722,0.0
652329076,0.3,-0.087874316,-0.008460722,0.0
652350325,0.3,-0.09287494,-0.008460722,0.0
652371576,0.3,-0.097883955,-0.008460722,0.0
652391577,0.3,-0.10261523,-0.008460722,0.0
652409082,0.3,-0.10679603,-0.008460722,0.0
652430326,0.3,-0.11194839,-0.008460722,0.0
652451576,0.3,-0.11717644,-0.008460722,0.0
652469079,0.3,-0.121517256,-0.008460722,0.0
652490326,0.3,-0.12679048,-0.008460722,0.0
652511576,0.3,-0.13206735,-0.008460722,0.0
652531576,0.3,-0.13703474,-0.008460722,0.0
652549083,0.3,-0.14138523,-0.008460722,0.0
652570327,0.3,-0.14665948,-0.008460722,0.0
652591577,0.3,-0.15189251,-0.008460722,0.0
652609083,0.3,-0.15618695,-0.008460722,0.0
652630332,0.3,-0.16138488,-0.008460722,0.0
652651576,0.3,-0.16659553,-0.008460722,0.0
652671575,0.3,-0.17151198,-0.008460722,0.0
652689077,0.3,-0.17582482,-0.008460722,0.0
652710324,0.3,-0.18110831,-0.008460722,0.0
652731575,0.3,-0.18643881,-0.008460722,0.0
652749076,0.3,-0.19085321,-0.008460722,0.0
652770325,0.3,-0.19619665,-0.008460722,0.0
652791577,0.3,-0.20147975,-0.008460722,0.0
652811579,0.3,-0.20638968,-0.008460722,0.0
652829082,0.3,-0.21063484,-0.008460722,0.0
652850327,0.3,-0.2157611,-0.008460722,0.0
652871577,0.3,-0.22087118,-0.008460722,0.0
652889087,0.0,0.0,0.0,0.0
652910328,0.0,0.0,0.0,0.0
652931578,0.0,0.0,0.0,0.0
652951580,0.0,0.0,0.0,0.0
652969087,0.0,0.0,0.0,0.0
652990329,0.0,0.0,0.0,0.0
653011579,0.0,0.0,0.0,0.0
653029087,0.0,0.0,0.0,0.0
653050329,0.0,0.0,0.0,0.0
653071579,0.0,0.0,0.0,0.0
653091578,0.0,0.0,0.0,0.0
653109079,0.0,0.0,0.0,0.0
653130325,0.0,0.0,0.0,0.0
653151578,0.0,0.0,0.0,0.0
653169080,0.0,0.0,0.0,0.0
653190327,0.0,0.0,0.0,0.0
653211579,0.0,0.0,0.0,0.0
653231578,0.0,0.0,0.0,0.0
653249089,0.0,0.0,0.0,0.0
653270329,0.0,0.0,0.0,0.0
653291579,0.0,0.0,0.0,0.0
653309089,0.0,0.0,0.0,0.0
653330330,0.0,0.0,0.0,0.0
653351578,0.0,0.0,0.0,0.0
653371579,0.0,0.0,0.0,0.0
653389082,0.0,0.0,0.0,0.0
653410328,0.0,0.0,0.0,0.0
653431578,0.0,0.0,0.0,0.0
653449083,0.0,0.0,0.0,0.0
653470329,0.0,0.0,0.0,0.0
653491578,0.0,0.0,0.0,0.0
653511578,0.0,0.0,0.0,0.0
653529085,0.0,0.0,0.0,0.0
653550333,0.0,0.0,0.0,0.0
653571578,0.0,0.0,0.0,0.0
653589087,0.0,0.0,0.0,0.0
653610329,0.0,0.0,0.0,0.0
653631579,0.0,0.0,0.0,0.0
653651577,0.0,0.0,0.0,0.0
653669078,0.0,0.0,0.0,0.0
653690327,0.0,0.0,0.0,0.0
653711578,0.0,0.0,0.0,0.0
653729081,0.0,0.0,0.0,0.0
653750326,0.0,0.0,0.0,0.0
653771578,0.0,0.0,0.0,0.0
653791579,0.0,0.0,0.0,0.0
653809090,0.0,0.0,0.0,0.0
653830328,0.0,0.0,0.0,0.0
653851578,0.0,0.0,0.0,0.0
653869081,0.0,0.0,0.0,0.0
