timestamp,timestamp_sample,roll,pitch,yaw,throttle,flaps,aux1,aux2,aux3,aux4,aux5,aux6,buttons,valid,data_source,sticks_moving
638907697,638906652,0.0,-0.0,0.0,0.081818245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
638929445,638928478,0.0,-0.0,0.0,0.029545518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
638951150,638950185,0.0,-0.0,0.0,0.018181883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
638973056,638972041,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
638994837,638993851,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
639059807,639058844,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
639081720,639080466,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
639103570,639102380,0.0,-0.0,0.0,0.004545519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
639125272,639124300,0.0,-0.0,0.0,0.013636428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
639146915,639145945,0.0,-0.0,0.0,0.015909156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
639168582,639167617,0.0,-0.0,0.0,0.011363701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
639190209,639189230,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
639212261,639210841,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
639234074,639233043,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
639434087,639233043,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
639538603,639537637,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
639738614,639537637,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
639828928,639537637,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
639850590,639849613,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
639937623,639936579,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
639959249,639958242,0.0,-0.0,0.0,0.025000064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
639980829,639979865,0.0,-0.0,0.0,0.04545461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
640003051,640001842,0.0,-0.0,0.0,0.070454605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
640024885,640023905,0.0,-0.0,0.0,0.08863643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
640046596,640045616,0.0,-0.0,0.0,0.102272786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
640068183,640067217,0.0,-0.0,0.0,0.13863643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
